Group,Athlete,Distance,Session Load,Workload,Sprint Distance,High Intensity Running,No. of High Intensity Events,Metres per Minute,No. of Sprints,Top Speed,Raw Top Speed,Accelerations,Decelerations,Minutes Played
CMs,SYN_CMs_BAIXO_00228,2112,436,2.4,2,0,2,43,2,25.8,28.5,0,3,44
CMs,SYN_CMs_ALTO_00096,7822,1399,6.6,41,249,24,100,4,29.1,30.8,48,72,83
WBs,SYN_WBs_ALTO_00812,11190,2090,10.2,109,603,32,119,7,32.4,34.6,80,73,94
10s,SYN_10s_MEDIO_02196,3750,647,3.5,7,147,14,66,3,28.8,31.0,37,37,59
CMs,SYN_CMs_MEDIO_02601,3346,757,4.1,19,119,7,62,2,28.4,30.6,11,22,56
WBs,SYN_WBs_ALTO_00498,10391,2062,9.8,100,434,23,135,6,34.9,37.7,70,58,83
10s,SYN_10s_ALTO_01490,8969,1857,9.7,75,212,21,109,5,28.0,30.8,73,59,86
10s,SYN_10s_MEDIO_00656,4995,819,4.2,35,197,12,75,2,26.4,28.4,42,34,67
WBs,SYN_WBs_BAIXO_00467,2094,464,2.4,2,24,5,42,2,25.2,27.6,15,7,47
STs,SYN_STs_ALTO_02363,8140,1553,8.0,87,291,28,108,9,31.6,34.8,69,51,80
CBs,SYN_CBs_BAIXO_01266,522,85,0.2,6,25,1,30,1,23.6,24.7,2,0,17
10s,SYN_10s_MEDIO_00726,5602,1185,6.0,28,219,14,73,4,28.4,31.6,37,34,78
STs,SYN_STs_BAIXO_00600,1709,317,1.4,4,0,2,37,2,25.7,28.5,0,1,51
STs,SYN_STs_ALTO_00887,9734,1973,9.6,110,402,36,115,10,29.1,30.6,79,72,86
CBs,SYN_CBs_MEDIO_02255,3738,674,2.9,9,150,6,66,1,28.6,31.4,34,20,56
CBs,SYN_CBs_ALTO_00452,9619,1973,9.7,38,277,30,103,3,29.4,31.4,89,80,95
CBs,SYN_CBs_MEDIO_00266,3246,602,2.6,4,89,10,66,1,28.1,29.4,37,23,53
CBs,SYN_CBs_MEDIO_02942,3521,692,3.3,25,131,7,66,2,25.6,27.2,22,24,57
10s,SYN_10s_MEDIO_01301,3544,645,3.6,38,116,8,61,1,27.0,29.4,31,28,57
CBs,SYN_CBs_ALTO_00513,9545,1754,8.8,33,244,28,101,5,28.3,31.4,87,63,94
WBs,SYN_WBs_ALTO_01392,9318,1950,9.5,78,450,23,94,4,32.2,34.1,62,66,90
CMs,SYN_CMs_ALTO_00890,10131,1738,9.3,47,239,22,123,3,30.4,31.6,51,72,86
WBs,SYN_WBs_ALTO_00179,8355,1754,9.5,73,441,18,97,4,32.0,34.9,73,54,86
CMs,SYN_CMs_BAIXO_00243,1776,260,1.0,0,31,4,34,0,26.4,28.2,9,20,47
CBs,SYN_CBs_BAIXO_00516,767,117,1.1,0,9,0,74,0,26.2,29.7,1,0,11
STs,SYN_STs_MEDIO_01250,3410,644,3.7,34,258,13,51,4,29.5,31.4,43,31,60
CMs,SYN_CMs_MEDIO_00362,7753,1440,7.2,29,224,10,92,2,25.9,29.0,35,42,86
CMs,SYN_CMs_BAIXO_01082,2510,589,3.6,6,137,2,50,0,26.3,27.5,3,15,52
STs,SYN_STs_MEDIO_01005,4711,808,4.1,48,163,17,64,4,31.6,33.9,43,37,71
STs,SYN_STs_MEDIO_01204,5571,1109,6.0,63,276,17,67,5,28.7,31.0,46,45,82
WBs,SYN_WBs_ALTO_02402,11156,2316,11.1,104,464,35,123,8,29.1,31.7,91,66,88
CBs,SYN_CBs_BAIXO_00999,316,164,1.1,17,8,4,10,1,24.0,27.6,6,19,33
CBs,SYN_CBs_ALTO_02855,8959,1820,9.1,39,226,16,106,1,28.1,30.2,73,66,89
CBs,SYN_CBs_MEDIO_00796,4381,897,4.2,7,85,7,73,1,26.2,29.7,24,26,61
WBs,SYN_WBs_ALTO_01801,9712,1815,9.0,80,493,24,125,5,30.9,33.0,74,65,80
CBs,SYN_CBs_ALTO_01110,7823,1598,7.9,32,134,15,94,2,29.8,31.7,62,58,86
CMs,SYN_CMs_BAIXO_00672,50,25,0.2,0,6,0,2,0,25.9,29.1,0,6,19
,SYN_Indefinido_MEDIO_00807,3164,845,4.7,34,194,11,60,2,30.7,32.0,26,31,54
STs,SYN_STs_MEDIO_01146,5091,1027,4.8,23,190,18,67,4,27.0,28.6,52,38,74
10s,SYN_10s_BAIXO_00286,2278,405,1.3,17,150,2,41,0,25.4,28.2,11,10,51
CBs,ORIG_ATL_CBs_077,6823,1295,6.2,22,188,14,102,2,31.3,33.0,64,35,66
WBs,SYN_WBs_ALTO_00014,9279,1703,8.7,79,343,20,110,7,30.6,32.8,59,69,84
10s,SYN_10s_MEDIO_02360,4174,941,4.8,7,214,8,77,0,29.5,32.7,39,24,55
10s,SYN_10s_MEDIO_02841,5218,1110,5.4,30,233,15,70,3,28.9,30.7,32,36,79
10s,SYN_10s_MEDIO_01456,3848,649,3.3,28,88,10,63,2,30.6,33.7,23,33,63
10s,SYN_10s_ALTO_03435,8227,1567,7.9,61,340,21,101,6,29.3,32.3,56,59,81
CBs,SYN_CBs_BAIXO_00508,50,63,0.5,2,0,3,6,2,23.0,25.5,6,1,9
STs,SYN_STs_ALTO_01120,9079,1626,8.3,82,234,23,97,8,32.9,36.2,77,67,90
CBs,SYN_CBs_ALTO_02397,8985,1899,9.3,29,244,18,103,1,28.2,29.5,67,68,91
WBs,SYN_WBs_MEDIO_01656,6868,1423,6.8,61,362,18,95,3,30.7,32.9,43,49,77
10s,SYN_10s_BAIXO_00008,409,10,0.7,17,2,1,82,0,22.2,25.8,8,5,5
CMs,SYN_CMs_MEDIO_00584,7212,1318,6.6,19,256,14,94,2,29.0,31.3,40,34,82
CBs,SYN_CBs_MEDIO_02385,6079,1071,5.0,17,101,13,73,1,25.1,28.0,44,49,86
CBs,SYN_CBs_MEDIO_02091,6571,1249,6.3,26,158,14,76,3,28.3,29.8,50,57,86
CMs,SYN_CMs_MEDIO_01223,5779,1146,6.0,22,108,12,85,3,31.7,33.6,33,37,65
,SYN_Indefinido_BAIXO_00450,945,122,0.3,5,31,0,50,0,26.9,29.9,0,0,21
STs,SYN_STs_ALTO_01789,7754,1477,7.6,71,346,25,98,6,30.6,33.5,56,53,83
WBs,SYN_WBs_ALTO_02041,10284,1963,10.0,79,538,27,122,6,29.6,32.6,72,59,88
STs,SYN_STs_ALTO_01021,8128,1685,8.0,87,323,24,104,5,32.4,33.9,55,61,79
CMs,SYN_CMs_MEDIO_00640,6013,1061,5.5,32,210,16,79,4,28.3,30.5,34,49,79
WBs,SYN_WBs_BAIXO_00405,440,63,0.5,0,0,1,35,0,25.0,27.6,2,6,14
,SYN_Indefinido_MEDIO_00985,4590,805,3.8,16,201,11,58,0,28.2,31.5,42,51,76
CBs,SYN_CBs_BAIXO_00632,115,47,0.1,6,14,3,3,0,25.7,26.8,10,10,51
WBs,SYN_WBs_ALTO_00178,12126,2543,12.5,104,527,32,126,5,32.3,35.0,89,72,93
WBs,SYN_WBs_MEDIO_01564,4169,847,4.3,56,183,8,82,2,28.4,30.4,29,34,55
CBs,SYN_CBs_MEDIO_01744,5349,1094,5.3,14,126,10,67,1,29.0,32.1,49,34,81
WBs,SYN_WBs_ALTO_01826,10915,2105,10.4,83,481,29,118,7,32.7,34.8,84,78,89
CMs,SYN_CMs_MEDIO_01454,5718,1173,6.6,16,251,13,73,2,29.1,31.0,35,32,83
WBs,SYN_WBs_MEDIO_01959,4283,883,4.4,44,184,10,80,4,28.7,29.9,41,22,56
CMs,SYN_CMs_BAIXO_00356,623,51,0.1,10,48,0,20,0,26.7,30.0,0,8,32
,SYN_Indefinido_ALTO_00949,7967,1327,6.6,69,209,19,91,6,30.7,34.1,66,65,86
CBs,SYN_CBs_MEDIO_01726,5728,1002,5.0,0,141,12,76,0,26.4,28.2,40,43,77
CBs,ORIG_ATL_CBs_074,8885,1740,8.2,32,171,22,104,1,25.8,27.7,68,74,86
CMs,SYN_CMs_ALTO_00988,10954,2304,11.6,57,320,20,121,4,30.5,33.2,47,67,92
10s,SYN_10s_ALTO_02620,8401,1641,7.8,53,333,25,101,4,28.7,31.5,65,73,83
10s,SYN_10s_MEDIO_02731,4188,823,4.1,35,189,14,73,3,27.8,31.4,42,31,59
STs,SYN_STs_MEDIO_01835,4623,963,4.7,70,284,10,60,3,31.3,32.7,43,30,70
CBs,SYN_CBs_ALTO_02179,8544,1575,7.6,40,276,24,113,4,29.1,31.3,73,62,82
WBs,SYN_WBs_ALTO_00453,10734,2091,10.2,80,437,28,135,7,29.0,31.4,63,66,81
10s,SYN_10s_MEDIO_00553,4685,826,4.4,38,208,9,65,1,26.9,29.4,41,28,72
CBs,SYN_CBs_BAIXO_00503,63,8,0.1,0,6,0,4,0,25.7,26.8,7,0,22
CMs,SYN_CMs_ALTO_01122,10212,1877,9.9,47,221,19,133,4,29.8,32.0,55,76,82
10s,SYN_10s_MEDIO_02577,3475,657,2.7,29,99,9,62,2,30.2,33.1,32,14,58
WBs,SYN_WBs_MEDIO_00733,4755,864,4.4,35,226,13,77,2,26.9,29.8,40,33,59
10s,SYN_10s_BAIXO_01409,50,81,0.3,0,0,0,11,0,26.3,29.3,0,1,5
CBs,ORIG_ATL_CBs_038,10199,1986,9.7,40,234,20,112,1,28.9,30.9,75,80,89
10s,SYN_10s_ALTO_02745,8035,1665,8.2,68,367,24,100,4,29.4,31.3,68,54,82
CBs,SYN_CBs_ALTO_01383,10078,1830,9.2,57,362,22,112,4,29.6,32.2,71,57,91
STs,SYN_STs_MEDIO_00885,3427,594,2.9,65,225,13,45,5,25.9,29.2,36,32,70
WBs,SYN_WBs_ALTO_01060,10411,2057,10.5,63,379,23,121,6,33.3,34.5,75,53,85
CBs,SYN_CBs_ALTO_02185,7597,1543,7.4,55,149,17,101,1,27.6,30.1,59,61,80
10s,SYN_10s_ALTO_01589,7384,1458,7.2,74,238,18,89,3,30.5,31.9,55,45,80
10s,SYN_10s_ALTO_00548,7638,1478,6.9,64,294,26,82,5,30.9,34.3,61,58,89
CMs,SYN_CMs_MEDIO_02555,7177,1392,6.8,31,181,14,93,1,29.0,31.9,45,43,83
STs,SYN_STs_BAIXO_00112,1610,367,2.0,18,0,6,54,2,25.0,27.6,11,18,34
CBs,SYN_CBs_MEDIO_01387,6265,1141,5.3,7,174,12,67,1,26.1,27.5,51,39,85
CMs,SYN_CMs_MEDIO_02287,4725,1018,5.0,28,217,11,77,2,27.5,29.8,34,46,56
WBs,SYN_WBs_ALTO_00200,10767,2234,11.0,61,536,18,121,5,30.1,31.5,66,63,88
WBs,SYN_WBs_MEDIO_01531,6006,1259,6.4,61,244,17,78,6,30.7,33.2,36,33,72
CMs,SYN_CMs_MEDIO_01999,6935,1323,6.3,41,192,11,90,2,30.2,33.1,36,32,78
WBs,SYN_WBs_BAIXO_00866,690,212,1.1,12,7,1,24,0,25.6,28.9,9,5,27
STs,ORIG_ATL_STs_055,5823,1089,5.8,80,279,17,92,5,30.7,33.5,51,52,60
CMs,SYN_CMs_ALTO_00493,11080,2122,10.1,61,380,25,116,4,33.4,35.2,82,71,96
10s,SYN_10s_MEDIO_00674,3784,594,3.2,27,69,11,58,2,27.9,31.2,31,20,62
,SYN_Indefinido_BAIXO_00758,521,8,0.4,28,67,2,8,0,24.4,27.8,9,13,49
CBs,SYN_CBs_ALTO_02657,8998,1760,8.3,32,273,22,95,3,29.7,31.2,87,83,90
CBs,SYN_CBs_ALTO_02850,10240,1923,9.5,47,268,32,115,2,29.5,31.1,104,85,94
10s,SYN_10s_ALTO_00832,8268,1414,7.5,63,288,23,96,5,26.9,30.4,69,56,85
10s,SYN_10s_MEDIO_00368,5809,1066,5.3,28,219,18,72,5,29.3,32.5,57,22,74
STs,SYN_STs_MEDIO_01253,5613,1189,6.0,54,203,14,54,5,29.3,31.0,54,31,87
CMs,SYN_CMs_MEDIO_01673,4402,688,3.3,52,95,8,80,2,26.1,27.5,39,18,57
CMs,SYN_CMs_ALTO_00259,7333,1412,7.5,45,253,20,87,2,29.5,31.4,48,61,80
10s,SYN_10s_ALTO_02316,7447,1540,7.8,71,336,25,92,4,30.1,31.5,67,57,86
WBs,SYN_WBs_MEDIO_01142,4954,976,4.6,38,143,12,73,2,28.9,31.4,30,41,72
CMs,SYN_CMs_MEDIO_00185,6836,1430,6.5,42,193,12,93,4,28.7,30.9,35,41,75
CMs,SYN_CMs_ALTO_01774,9801,1736,9.5,50,272,17,113,3,29.3,31.0,54,61,88
CMs,SYN_CMs_MEDIO_01197,5587,1089,5.7,20,186,13,77,2,27.0,28.5,43,44,77
CBs,SYN_CBs_MEDIO_02031,6594,1194,5.6,16,122,15,80,1,29.9,31.5,52,53,81
WBs,SYN_WBs_BAIXO_00531,50,8,0.1,2,0,0,9,0,27.6,29.6,0,0,5
10s,SYN_10s_ALTO_02670,8010,1559,7.7,66,380,17,101,4,29.2,32.7,60,59,84
STs,SYN_STs_BAIXO_00066,1539,228,1.5,16,98,3,42,0,24.0,26.1,11,12,39
CBs,SYN_CBs_ALTO_00322,9835,1805,9.1,49,333,22,99,2,30.3,33.1,84,66,95
STs,SYN_STs_MEDIO_00821,3278,714,3.2,17,219,10,66,2,27.1,30.0,39,19,53
10s,SYN_10s_MEDIO_01779,4905,1091,5.5,48,254,12,63,5,28.5,31.2,35,43,76
10s,SYN_10s_BAIXO_00613,1068,208,1.0,12,38,0,52,0,28.2,29.7,4,3,22
STs,SYN_STs_BAIXO_00767,634,129,0.1,2,68,1,15,0,22.7,25.4,1,15,36
STs,SYN_STs_ALTO_02422,10531,2072,10.1,95,401,36,107,9,29.1,31.4,81,78,96
WBs,SYN_WBs_MEDIO_00085,6221,1270,6.5,61,368,16,81,3,29.5,31.4,61,39,78
CBs,SYN_CBs_BAIXO_01038,1029,83,0.9,1,0,1,29,0,21.2,24.3,1,9,41
CMs,SYN_CMs_ALTO_03402,10651,2122,11.0,45,318,19,128,3,29.3,31.1,70,68,83
WBs,SYN_WBs_BAIXO_00588,181,53,0.6,9,0,1,13,1,26.0,27.3,1,2,11
WBs,SYN_WBs_ALTO_02316,9544,1998,11.1,59,485,22,103,6,28.5,31.1,71,73,93
CBs,SYN_CBs_ALTO_02383,7530,1355,6.9,33,231,14,89,1,28.1,30.6,65,47,82
10s,SYN_10s_ALTO_02554,8423,1816,9.0,53,397,20,81,3,26.1,29.5,50,54,90
10s,SYN_10s_ALTO_02623,9632,2053,10.5,54,344,27,114,5,29.6,31.6,79,72,82
WBs,SYN_WBs_MEDIO_01191,6684,1403,6.9,62,253,19,82,5,27.3,28.9,47,35,78
CMs,SYN_CMs_MEDIO_00169,5119,1075,4.6,25,228,9,79,1,27.5,29.0,25,28,66
CBs,SYN_CBs_ALTO_01666,10023,1896,9.2,42,248,21,112,3,28.1,30.3,82,81,93
10s,SYN_10s_MEDIO_02249,5400,932,4.8,22,255,16,65,1,29.3,30.6,43,48,76
10s,SYN_10s_MEDIO_00677,3605,650,3.3,35,199,10,59,2,32.2,33.8,35,46,66
WBs,SYN_WBs_ALTO_00434,10251,2132,11.4,101,475,30,107,6,31.0,32.9,79,79,91
,SYN_Indefinido_BAIXO_00165,457,119,0.4,15,56,4,9,3,25.1,28.6,10,0,39
CMs,SYN_CMs_MEDIO_01075,5067,968,5.1,33,188,10,87,1,26.8,30.0,31,31,56
CBs,SYN_CBs_MEDIO_02527,3610,701,3.0,30,73,9,64,0,27.6,30.7,36,28,57
10s,SYN_10s_ALTO_03366,9606,1954,9.9,55,405,29,101,5,32.3,34.2,76,71,92
STs,SYN_STs_ALTO_01183,8474,1676,8.6,91,340,28,101,8,31.2,33.6,69,57,83
,SYN_Indefinido_BAIXO_00709,50,8,0.3,0,6,1,2,0,26.7,28.9,13,3,11
CMs,SYN_CMs_ALTO_01560,8782,1923,9.7,42,336,25,102,6,30.8,34.0,49,63,84
CMs,SYN_CMs_MEDIO_01200,5808,1055,4.9,28,187,15,79,3,27.3,30.0,36,36,77
WBs,SYN_WBs_MEDIO_00107,6213,1370,6.5,34,335,13,67,4,32.7,35.0,36,45,86
CBs,SYN_CBs_ALTO_00837,9637,1792,8.5,37,209,26,99,3,29.5,31.6,69,70,90
10s,SYN_10s_MEDIO_00225,5620,1246,5.7,40,279,9,82,2,27.9,30.1,34,33,69
10s,SYN_10s_BAIXO_01238,50,8,0.1,0,0,3,1,0,28.2,30.2,15,7,14
CMs,SYN_CMs_ALTO_02911,9460,1864,9.1,43,204,14,117,2,33.1,34.7,55,49,80
WBs,SYN_WBs_MEDIO_01723,4206,661,3.1,23,176,8,73,3,26.6,29.9,31,25,53
CMs,SYN_CMs_ALTO_01597,11265,2245,11.7,51,404,22,118,4,29.1,32.3,68,61,96
CMs,SYN_CMs_MEDIO_01806,4356,866,4.4,23,134,8,73,2,26.1,28.9,24,20,59
CBs,SYN_CBs_BAIXO_00276,1078,224,1.3,0,110,2,23,0,26.2,29.0,15,2,39
STs,SYN_STs_ALTO_00482,8134,1571,8.0,80,285,24,94,7,29.7,32.8,65,63,89
CBs,SYN_CBs_BAIXO_00919,472,12,0.1,0,28,0,15,0,25.7,27.5,7,0,22
STs,SYN_STs_ALTO_02253,9667,1964,10.0,109,411,31,114,10,30.6,33.5,76,79,88
10s,SYN_10s_ALTO_00341,8086,1804,9.0,44,289,16,90,5,31.7,33.9,56,33,83
WBs,SYN_WBs_BAIXO_00811,1479,172,0.6,21,0,5,42,3,26.4,27.9,8,6,35
CMs,SYN_CMs_MEDIO_01374,4282,814,3.8,25,210,10,64,1,26.6,29.5,25,37,68
10s,SYN_10s_MEDIO_00723,3670,693,3.3,46,196,10,57,1,29.9,33.4,39,22,60
STs,SYN_STs_MEDIO_00588,4600,1098,6.2,30,336,14,59,5,30.7,32.3,49,34,74
10s,SYN_10s_BAIXO_00308,116,33,0.6,6,14,1,10,0,27.6,28.8,1,10,22
CBs,SYN_CBs_MEDIO_02439,3937,662,3.4,9,148,10,68,2,27.4,29.8,44,35,60
CBs,SYN_CBs_ALTO_00253,10684,2037,9.9,47,313,25,109,3,30.7,32.8,93,77,96
10s,SYN_10s_BAIXO_00335,876,42,0.1,0,61,1,26,0,26.8,29.3,14,0,39
WBs,SYN_WBs_MEDIO_00947,7065,1387,6.9,82,266,20,79,5,28.7,30.8,45,42,84
CMs,SYN_CMs_BAIXO_00057,1874,342,1.6,12,24,1,39,0,25.6,28.7,1,14,46
CMs,SYN_CMs_ALTO_00947,9999,1836,9.0,46,294,23,119,3,30.7,34.0,62,61,84
CMs,SYN_CMs_MEDIO_01276,4835,981,4.6,47,153,7,86,1,30.4,32.7,29,21,61
STs,SYN_STs_ALTO_02166,9298,1750,8.6,85,454,28,100,8,27.3,30.5,73,66,96
CMs,SYN_CMs_ALTO_02063,9665,1826,8.9,52,241,24,100,4,31.8,35.0,62,76,85
,SYN_Indefinido_ALTO_00060,8127,1533,7.8,57,263,17,90,3,31.5,34.4,68,66,89
STs,SYN_STs_MEDIO_01238,4719,968,5.0,39,124,8,69,0,26.7,29.7,33,29,66
STs,SYN_STs_MEDIO_01122,6151,1333,6.2,47,200,12,108,2,30.7,34.0,36,43,62
STs,SYN_STs_ALTO_01517,9064,2007,9.6,91,412,32,99,6,31.6,33.6,83,75,95
CMs,SYN_CMs_ALTO_00394,10039,1826,9.0,67,352,18,118,2,32.6,35.9,69,71,89
CBs,SYN_CBs_MEDIO_02924,4393,778,4.2,29,171,10,69,2,27.7,31.1,33,33,68
STs,SYN_STs_MEDIO_00587,4876,1197,6.0,90,222,17,75,3,29.3,31.1,37,44,65
STs,SYN_STs_ALTO_00678,9561,1986,10.0,115,468,24,107,8,28.3,30.0,66,71,85
CBs,SYN_CBs_BAIXO_01072,782,93,0.6,0,90,2,31,0,25.9,27.8,12,4,30
CMs,SYN_CMs_ALTO_00260,10395,1879,9.1,67,328,21,119,4,28.4,29.9,52,61,85
CMs,SYN_CMs_ALTO_02683,9336,1730,8.9,60,318,16,103,2,30.1,33.6,58,56,91
CBs,SYN_CBs_BAIXO_00027,1098,308,1.5,0,59,3,22,0,22.0,24.4,10,11,46
10s,SYN_10s_ALTO_01821,6663,1341,6.7,58,321,19,79,3,30.1,31.7,49,56,81
CMs,SYN_CMs_MEDIO_01643,3813,693,3.8,18,113,5,60,0,26.6,29.1,15,33,56
STs,SYN_STs_BAIXO_00426,50,14,0.1,0,0,2,3,0,25.8,29.1,11,5,17
CBs,SYN_CBs_BAIXO_01355,50,40,0.7,2,0,2,1,1,24.4,26.2,7,0,13
CBs,SYN_CBs_ALTO_01864,9776,1926,9.8,43,287,17,112,2,29.6,31.0,79,65,86
10s,SYN_10s_ALTO_02132,7952,1430,7.0,51,303,21,103,4,29.8,32.2,62,59,86
10s,SYN_10s_ALTO_01735,8127,1616,8.4,65,318,22,99,4,30.4,33.9,59,60,81
10s,SYN_10s_BAIXO_00996,285,196,0.7,14,0,1,21,0,28.7,31.3,0,10,10
,SYN_Indefinido_MEDIO_00494,3895,701,3.5,24,191,8,70,0,32.4,34.6,30,46,53
WBs,SYN_WBs_MEDIO_00841,4200,844,4.0,43,183,9,77,3,28.3,31.1,25,29,54
WBs,SYN_WBs_ALTO_00482,12653,2600,12.5,93,617,31,132,10,32.6,34.1,90,83,96
WBs,SYN_WBs_MEDIO_01116,7246,1559,8.2,52,306,14,91,0,32.0,34.5,44,52,77
CMs,SYN_CMs_MEDIO_02609,6018,1089,4.9,17,120,12,78,2,26.9,29.5,36,43,79
WBs,SYN_WBs_BAIXO_00149,126,53,0.2,6,0,1,3,1,25.9,27.6,6,0,30
STs,SYN_STs_MEDIO_01559,4607,989,4.7,40,266,18,64,6,27.2,29.2,36,40,72
CMs,SYN_CMs_ALTO_00124,8768,1709,8.3,74,252,19,108,2,32.1,33.2,50,64,81
CMs,SYN_CMs_ALTO_01653,10190,1899,10.0,47,345,19,121,2,30.0,32.3,66,68,85
CBs,SYN_CBs_MEDIO_02389,5428,1026,5.7,25,124,15,70,0,26.9,28.7,60,42,84
STs,SYN_STs_BAIXO_00644,173,99,0.3,9,0,0,9,0,25.0,28.1,3,0,12
CMs,SYN_CMs_ALTO_01342,9119,1812,8.8,47,361,22,98,3,31.7,34.2,63,70,94
10s,SYN_10s_ALTO_00716,8726,1755,9.7,73,383,26,104,5,31.0,32.7,70,59,82
,SYN_Indefinido_MEDIO_00539,4118,963,4.6,18,223,11,48,0,28.8,30.2,38,33,77
,SYN_Indefinido_ALTO_01061,7826,1449,6.9,43,284,22,98,4,26.3,28.1,60,53,80
CMs,SYN_CMs_MEDIO_01792,3929,848,3.7,30,154,6,78,0,27.6,29.1,23,27,58
,SYN_Indefinido_BAIXO_00416,920,182,0.9,0,0,2,31,0,24.5,27.1,8,7,28
WBs,SYN_WBs_MEDIO_01351,4492,915,5.2,38,140,8,70,3,30.7,31.8,19,30,62
CMs,SYN_CMs_ALTO_02899,9985,1920,9.7,62,268,19,121,5,31.2,34.3,63,54,81
STs,SYN_STs_MEDIO_01219,5064,1097,5.4,43,251,18,73,4,28.6,31.9,43,40,78
CMs,SYN_CMs_MEDIO_01868,5787,999,4.7,53,118,11,70,2,29.2,32.0,26,39,81
CBs,SYN_CBs_ALTO_02388,8294,1659,8.3,13,270,26,89,2,28.7,30.6,72,71,91
CMs,SYN_CMs_MEDIO_02630,6771,1296,7.1,28,158,10,81,2,29.2,32.0,34,24,83
10s,SYN_10s_ALTO_00327,7604,1601,7.9,71,353,25,88,5,30.2,31.4,68,68,84
CBs,SYN_CBs_MEDIO_00043,5506,1190,6.0,14,136,14,84,3,26.3,27.8,37,35,69
WBs,SYN_WBs_BAIXO_00575,634,43,0.1,0,0,1,31,0,27.7,29.4,3,8,20
CBs,SYN_CBs_ALTO_01771,8587,1644,7.8,27,212,20,92,3,28.0,31.3,69,51,90
STs,SYN_STs_MEDIO_01506,4634,1033,5.2,52,269,9,73,2,28.0,29.4,38,35,60
CMs,SYN_CMs_ALTO_03376,9595,1878,9.5,23,283,25,118,3,26.7,28.8,62,73,84
,SYN_Indefinido_ALTO_00823,9036,1758,9.1,66,273,16,101,4,29.6,32.7,70,56,85
CBs,SYN_CBs_ALTO_00779,8831,1644,8.7,43,248,22,95,3,28.6,29.9,67,64,92
CBs,SYN_CBs_MEDIO_02501,4670,952,4.9,18,186,16,62,2,25.8,29.0,46,39,75
STs,SYN_STs_MEDIO_00109,3902,762,3.4,43,193,12,70,1,31.0,32.9,33,37,55
CBs,SYN_CBs_ALTO_03062,8422,1601,8.4,36,254,19,95,2,30.0,31.8,59,63,88
CMs,SYN_CMs_ALTO_02168,11149,2163,11.5,67,326,20,125,5,31.1,34.3,61,74,91
CMs,SYN_CMs_ALTO_00798,8960,1815,9.2,53,271,13,113,3,29.5,30.9,47,44,79
CBs,SYN_CBs_ALTO_01015,7470,1427,7.0,35,154,19,96,3,26.1,29.3,78,58,85
10s,SYN_10s_ALTO_00178,8210,1557,7.8,64,296,20,100,4,29.9,32.0,60,48,81
10s,SYN_10s_ALTO_03346,9031,1837,9.5,83,422,19,99,4,32.0,34.3,66,66,92
CBs,SYN_CBs_MEDIO_01847,6671,1188,6.2,5,168,18,82,2,27.7,29.5,60,49,80
10s,SYN_10s_ALTO_00458,8496,1658,8.0,81,317,20,89,4,28.5,31.7,55,67,94
WBs,SYN_WBs_ALTO_01642,10914,2063,10.7,74,441,27,135,8,32.9,35.7,77,59,82
CMs,SYN_CMs_BAIXO_00342,1283,229,1.3,0,51,1,61,0,27.4,28.6,11,0,23
WBs,ORIG_ATL_WBs_019,5550,1049,5.6,60,236,12,114,4,30.6,33.7,35,31,49
10s,ORIG_ATL_10s_041,5145,971,4.9,37,69,10,94,3,33.1,35.6,37,32,56
10s,SYN_10s_BAIXO_01370,324,8,0.1,3,0,0,4,0,26.3,29.3,2,3,26
WBs,SYN_WBs_ALTO_00738,11209,2232,10.9,94,553,29,133,6,33.4,35.3,76,68,84
CBs,SYN_CBs_ALTO_02368,10639,1896,9.3,38,306,25,117,1,29.0,31.0,101,95,96
WBs,SYN_WBs_ALTO_00465,10227,1970,10.1,75,407,26,103,8,32.9,34.8,72,63,92
WBs,SYN_WBs_ALTO_01348,10332,2128,10.9,104,405,26,113,8,32.2,33.7,76,80,96
STs,SYN_STs_MEDIO_00275,6525,1362,7.0,53,164,17,95,5,30.3,32.6,49,40,70
WBs,SYN_WBs_BAIXO_00743,1154,194,1.3,5,0,2,31,0,28.7,32.3,6,13,40
STs,SYN_STs_ALTO_00312,6704,1328,7.0,100,306,25,85,8,29.4,31.3,55,57,81
CBs,SYN_CBs_MEDIO_02732,4938,940,4.5,17,104,9,63,0,28.6,31.7,41,41,77
STs,SYN_STs_MEDIO_01547,6128,1252,6.1,75,183,17,68,5,27.8,30.2,56,38,82
,SYN_Indefinido_ALTO_01059,8891,1979,10.5,78,264,15,102,2,25.8,28.7,60,44,84
STs,SYN_STs_ALTO_01881,9034,1840,9.5,102,371,33,107,8,28.8,32.4,73,71,84
STs,SYN_STs_ALTO_00352,9579,2113,10.6,85,513,35,103,11,29.2,31.8,83,72,94
CBs,SYN_CBs_ALTO_01084,9895,2122,10.5,35,360,24,105,3,28.7,30.1,79,79,90
CBs,SYN_CBs_ALTO_01191,11018,2114,10.4,46,204,23,125,2,30.1,32.0,90,92,95
10s,SYN_10s_MEDIO_01680,5151,1235,6.5,31,134,9,85,3,27.1,28.7,29,26,60
WBs,SYN_WBs_BAIXO_00961,50,52,0.5,0,0,1,6,0,26.6,29.7,8,0,6
10s,SYN_10s_ALTO_03163,8998,1702,9.1,58,406,22,96,5,33.2,36.8,83,60,90
CBs,SYN_CBs_MEDIO_00607,6903,1228,6.2,19,102,14,87,1,30.4,32.9,54,42,82
